,statut_etab,etablissement,region,selectivite,filiere_agregee,capacite,ran_grp1,acc_tot,pct_bours,pct_f,pct_brs,pct_ab,pct_b,pct_tb,selectivite_bin,statut_simplifie,zone,capacite_log,ran_grp1_log,taux_remplissage,taux_remplissage_clipped
0,Public,IFSI Séraphine de Senlis - CH Les Murets,Ile-de-France,formation selective,IFSI,72.0,1940.0,72,36.0,86.11,12.5,15.277777777777779,8.333333333333334,0.0,1,Public,Ile-de-France,4.290459441148391,7.57095858316901,1.0,1.0
2,Public,Université Clermont Auvergne - Antenne de Vichy - UFR STAPS,Auvergne-Rhône-Alpes,formation non selec,Licence,45.0,90.0,45,6.67,51.11,6.666666666666667,20.0,55.55555555555556,24.444444444444443,0,Public,Province,3.828641396489095,4.51085950651685,1.0,1.0
3,Public,Ecole régionale d'assistants du service social,Occitanie,formation selective,EFTS,38.0,91.0,38,45.45,100.0,26.31578947368421,28.94736842105263,15.789473684210526,5.2631578947368425,1,Public,Province,3.6635616461296463,4.5217885770490405,1.0,1.0
4,Privé sous contrat d'association,EFPP,Ile-de-France,formation selective,EFTS,39.0,124.0,43,0.0,100.0,0.0,20.930232558139537,9.30232558139535,0.0,1,Privé,Ile-de-France,3.6888794541139363,4.8283137373023015,1.1025641025641026,1.1025641025641026
5,Public,Université de Nantes,Pays de la Loire,formation non selec,Licence,60.0,1933.0,53,20.59,15.09,13.20754716981132,20.754716981132077,5.660377358490566,0.0,0,Public,Province,4.110873864173311,7.56734567601324,0.8833333333333333,0.8833333333333333
6,Public,Université Sorbonne Nouvelle Paris 3,Ile-de-France,formation non selec,Licence,20.0,115.0,18,0.0,55.56,0.0,11.11111111111111,5.555555555555555,11.11111111111111,0,Public,Ile-de-France,3.044522437723423,4.7535901911063645,0.9,0.9
7,Public,"Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales",Ile-de-France,formation non selec,Licence,15.0,36.0,14,25.0,50.0,7.142857142857143,0.0,7.142857142857143,7.142857142857143,0,Public,Ile-de-France,2.772588722239781,3.6109179126442243,0.9333333333333333,0.9333333333333333
8,Public,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Ile-de-France,formation non selec,Licence,175.0,428.0,170,38.89,57.06,20.58823529411765,10.588235294117647,1.7647058823529411,0.0,0,Public,Ile-de-France,5.170483995038151,6.061456918928017,0.9714285714285714,0.9714285714285714
9,Public,Lycée professionnel des Coteaux,Provence Alpes Côte d'Azur,formation selective,Autre formation,15.0,68.0,15,16.67,86.67,13.333333333333334,13.333333333333334,60.0,6.666666666666667,1,Public,Province,2.772588722239781,4.23410650459726,1.0,1.0
10,Public,Lycée professionnel Les Grippeaux,Nouvelle-Aquitaine,formation selective,Autre formation,12.0,38.0,10,14.29,0.0,10.0,20.0,10.0,0.0,1,Public,Province,2.5649493574615367,3.6635616461296463,0.8333333333333334,0.8333333333333334
11,Public,Lycée Sévigné,Hauts-de-France,formation selective,Autre formation,15.0,66.0,12,16.67,83.33,16.666666666666668,8.333333333333334,25.0,66.66666666666667,1,Public,Province,2.772588722239781,4.204692619390966,0.8,0.8
12,Privé sous contrat d'association,INSTITUT ENSEIGNEMENT SUPERIEUR TRAVAIL SOCIAL - IESTS,Provence Alpes Côte d'Azur,formation selective,EFTS,29.0,42.0,29,14.29,96.55,3.4482758620689653,10.344827586206897,3.4482758620689653,3.4482758620689653,1,Privé,Province,3.4011973816621555,3.7612001156935624,1.0,1.0
13,Privé sous contrat d'association,ERTS,Centre-Val de Loire,formation selective,EFTS,15.0,21.0,16,25.0,68.75,12.5,6.25,0.0,6.25,1,Privé,Province,2.772588722239781,3.091042453358316,1.0666666666666667,1.0666666666666667
14,Privé sous contrat d'association,I.M.F. Avignon,Provence Alpes Côte d'Azur,formation selective,EFTS,19.0,28.0,21,75.0,80.95,14.285714285714286,4.761904761904762,9.523809523809524,4.761904761904762,1,Privé,Province,2.995732273553991,3.367295829986474,1.105263157894737,1.105263157894737
15,Privé enseignement supérieur,IFEN,Normandie,formation selective,EFTS,40.0,49.0,38,7.69,100.0,2.6315789473684212,7.894736842105263,18.42105263157895,7.894736842105263,1,Privé,Province,3.713572066704308,3.912023005428146,0.95,0.95
