,etablissement,filiere_agregee,zone,statut_simplifie,region
0,IFSI Séraphine de Senlis - CH Les Murets,IFSI,Ile-de-France,Public,Ile-de-France
2,Université Clermont Auvergne - Antenne de Vichy - UFR STAPS,Licence,Province,Public,Auvergne-Rhône-Alpes
3,Ecole régionale d'assistants du service social,EFTS,Province,Public,Occitanie
4,EFPP,EFTS,Ile-de-France,Privé,Ile-de-France
5,Université de Nantes,Licence,Province,Public,Pays de la Loire
6,Université Sorbonne Nouvelle Paris 3,Licence,Ile-de-France,Public,Ile-de-France
7,"Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales",Licence,Ile-de-France,Public,Ile-de-France
8,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Licence,Ile-de-France,Public,Ile-de-France
9,Lycée professionnel des Coteaux,Autre formation,Province,Public,Provence Alpes Côte d'Azur
10,Lycée professionnel Les Grippeaux,Autre formation,Province,Public,Nouvelle-Aquitaine
11,Lycée Sévigné,Autre formation,Province,Public,Hauts-de-France
12,INSTITUT ENSEIGNEMENT SUPERIEUR TRAVAIL SOCIAL - IESTS,EFTS,Province,Privé,Provence Alpes Côte d'Azur
13,ERTS,EFTS,Province,Privé,Centre-Val de Loire
14,I.M.F. Avignon,EFTS,Province,Privé,Provence Alpes Côte d'Azur
15,IFEN,EFTS,Province,Privé,Normandie
16,Université de Rouen Normandie - Campus Mont-Saint-Aignan,Licence,Province,Public,Normandie
17,Institut Paul Bocuse,Autre formation,Province,Privé,Auvergne-Rhône-Alpes
18,CRESPA -SCIENCES U,BTS,Province,Privé,Auvergne-Rhône-Alpes
19,Université Grenoble Alpes,Licence,Province,Public,Auvergne-Rhône-Alpes
20,Université de Bretagne Sud - Site de Lorient,Licence_Las,Province,Public,Bretagne
21,Université des Antilles - Pôle Martinique,PASS,Outre-mer / Etranger,Public,Martinique
22,Université de Nantes,Licence_Las,Province,Public,Pays de la Loire
23,Université de Bordeaux - Bordeaux Métropole,Licence_Las,Province,Public,Nouvelle-Aquitaine
24,Université Paris 2 Panthéon - Assas,Licence,Ile-de-France,Public,Ile-de-France
25,Université des Antilles - Pôle Guadeloupe,Licence_Las,Outre-mer / Etranger,Public,Guadeloupe
26,Université Paris Nanterre,Licence,Ile-de-France,Public,Ile-de-France
27,Université Paris Nanterre,Licence,Ile-de-France,Public,Ile-de-France
28,Université Toulouse 3 Paul Sabatier,Licence_Las,Province,Public,Occitanie
29,Université Clermont Auvergne,Licence,Province,Public,Auvergne-Rhône-Alpes
30,Université de Caen Normandie,Licence_Las,Province,Public,Normandie
31,Université de Franche-Comté - Site de Montbéliard,Autre formation,Province,Public,Bourgogne-Franche-Comté
32,Université de Nantes,PASS,Province,Public,Pays de la Loire
33,Faculté de médecine,Autre formation,Province,Public,Grand Est
34,Université Paris 8,Licence,Ile-de-France,Public,Ile-de-France
35,Université Amiens UFR médecine,Autre formation,Province,Public,Hauts-de-France
36,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Licence_Las,Ile-de-France,Public,Ile-de-France
37,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Licence_Las,Ile-de-France,Public,Ile-de-France
38,Université de la Réunion - Le Tampon,Licence_Las,Outre-mer / Etranger,Public,La Réunion
39,Lycée professionnel Magnan,Autre formation,Province,Public,Provence Alpes Côte d'Azur
40,"Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales",Licence_Las,Ile-de-France,Public,Ile-de-France
41,"Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales",Licence_Las,Ile-de-France,Public,Ile-de-France
42,Université Angers,PASS,Province,Public,Pays de la Loire
43,Lycée professionnel Pierre Latecoere,Autre formation,Province,Public,Provence Alpes Côte d'Azur
44,Université d'Amiens,PASS,Province,Public,Hauts-de-France
45,Université de Versailles - Saint Quentin en Yvelines,Licence,Ile-de-France,Public,Ile-de-France
46,Université de Poitiers,Licence_Las,Province,Public,Nouvelle-Aquitaine
47,Université de Brest,Licence,Province,Public,Bretagne
48,Aix Marseille Université - Site d'Aix-en-Provence,Licence_Las,Province,Public,Provence Alpes Côte d'Azur
49,Aix-Marseille Université - Site de Marseille Timone,PASS,Province,Public,Provence Alpes Côte d'Azur
50,South Champagne Business School - Campus de Chaumont,Ecole de Commerce,Province,Privé,Grand Est
51,Ecole Universitaire de premier cycle - Campus d'Orsay Université de Paris-Saclay (Orsay),PASS,Ile-de-France,Public,Ile-de-France
52,Lycée Polyvalent Rosa Parks,BTS,Province,Public,Pays de la Loire
53,IET - Institut de l'environnement et des technologies,BTS,Province,Privé,Auvergne-Rhône-Alpes
54,ISEN Yncrea Ouest Caen,Ecole d'Ingénieur,Province,Privé,Normandie
55,UniLaSalle Rennes,Ecole d'Ingénieur,Province,Privé,Bretagne
56,Université Paris Nanterre,Licence,Ile-de-France,Public,Ile-de-France
57,Lycée St J-B De La Salle,Ecole d'Ingénieur,Province,Privé,Grand Est
58,INALCO,Licence_Las,Ile-de-France,Public,Ile-de-France
59,Université Savoie Mont Blanc - Bourget-du-Lac,Licence_Las,Province,Public,Auvergne-Rhône-Alpes
60,Institut Catholique de Lyon,Autre formation,Province,Privé,Auvergne-Rhône-Alpes
61,Lycée professionnel Emile Baudot,BTS,Province,Public,Grand Est
62,Université Toulouse 3 Paul Sabatier,PASS,Province,Public,Occitanie
63,Lycée Gregor Mendel,BTS,Ile-de-France,Privé,Ile-de-France
64,Université Polytechnique Hauts-de-France,Licence_Las,Province,Public,Hauts-de-France
69,IFSI Sainte Marie,IFSI,Province,Privé,Provence Alpes Côte d'Azur
70,Université de la Polynésie française,Licence,Outre-mer / Etranger,Public,Polynésie française
71,"Centre de Ressources, d'Expertise et de Performance Sportive de Montpellier (CREPS)",Autre formation,Province,Public,Occitanie
72,IFSI Campus des Métiers de la Santé - Val de Lys Artois,IFSI,Province,Public,Hauts-de-France
73,Lycée François Bazin,BTS,Province,Public,Grand Est
74,IUT Reims-Châlons-Charleville site de Charleville,DUT,Province,Public,Grand Est
75,Facultés libres de l'ouest UCO - Angers,Licence,Province,Privé,Pays de la Loire
76,LGT privé Sacré-Coeur La Salle,BTS,Province,Privé,Pays de la Loire
77,Lycée agricole St Lô Thère,BTS,Province,Public,Normandie
78,INSTITUT NATIONAL DES SCIENCES ET TECHNIQUES DE LA MER,Autre formation,Province,Public,Normandie
79,Lycée Hugues Libergier,BTS,Province,Public,Grand Est
80,Lycée St Michel,BTS,Province,Privé,Grand Est
81,Lycée d'AVESNIERES,BTS,Province,Privé,Pays de la Loire
82,Lycée Jean-Baptiste Colbert,BTS,Province,Public,Bretagne
83,Facultés libres de l'ouest - UCO - Bretagne Sud,Licence,Province,Privé,Bretagne
84,Lycée agricole Metz-Courcelles-Chaussy,BTS,Province,Public,Grand Est
85,Lycée des Métiers Charles Jully,BTS,Province,Public,Grand Est
86,I.U.T. Thionville-Yutz - Université de Lorraine,DUT,Province,Public,Grand Est
87,Lycée Paul Hazard,BTS,Province,Public,Hauts-de-France
88,Lycée Gustave Eiffel,BTS,Province,Public,Hauts-de-France
89,Lycée Henri Wallon,BTS,Province,Public,Hauts-de-France
90,I.U.T. de Lille A,DUT,Province,Public,Hauts-de-France
91,I.U.T. de Lille A,DUT,Province,Public,Hauts-de-France
92,Lycée Vauban,BTS,Province,Privé,Hauts-de-France
93,Institut agricole de Genech,BTS,Province,Privé,Hauts-de-France
94,Institut Saint Vincent De Paul,BTS,Province,Privé,Hauts-de-France
95,UniLaSalle Beauvais,Ecole d'Ingénieur,Province,Privé,Hauts-de-France
96,Lycée agricole Auguste Loutreuil,BTS,Province,Public,Normandie
97,Lycée Fernand Darchicourt,BTS,Province,Public,Hauts-de-France
98,Lycée Mariette,CPGE,Province,Public,Hauts-de-France
99,Lycée professionnel Agricole Sainte Marie,BTS,Province,Privé,Hauts-de-France
100,Université d'Artois - Site d'Arras,Licence,Province,Public,Hauts-de-France
101,Université d'Artois - Site d'Arras,Licence,Province,Public,Hauts-de-France
102,Lycée Ambroise Brugiere,BTS,Province,Public,Auvergne-Rhône-Alpes
103,Institution Saint Alyre,BTS,Province,Privé,Auvergne-Rhône-Alpes
104,Université Clermont Auvergne,Licence,Province,Public,Auvergne-Rhône-Alpes
